"source","width","height","original_bytes","referenced_by_pages","generated_widths"
"assets/images/about/bench-design-process-mobile.png","1914","650","36892","",""
"assets/images/about/bench-design-process.png","1914","650","36839","",""
"assets/images/about/outdoor-bench-forest.jpg","1600","1066","559187","index.html",""
"assets/images/about/outdoor-bench-stream.jpeg","1600","1066","445957","",""
"assets/images/about/portrait-wielan-studio.jpg","1520","1960","185512","about.html","1200; 1520"
"assets/images/about/slatted-bench-studio.png","1183","782","669473","",""
"assets/images/about/stump-stools-studio.jpg","3642","2160","741372","",""
"assets/images/about/wooden-bench-studio.png","1178","785","580664","",""
"assets/images/about/workbench.jpeg","4160","3120","1597355","index.html","1200; 1600; 2400; 3200"
"assets/images/archive/dining-chair.jpg","2401","2160","641808","",""
"assets/images/archive/kitchen-stool.jpg","2400","2160","447114","",""
"assets/images/archive/risibiki-table.jpg","4320","2160","547568","",""
"assets/images/archive/slatted-bench.jpg","4320","2160","456298","",""
"assets/images/archive/stump-stools.jpg","3700","2160","753332","",""
"assets/images/commissions/bench-cad-render.png","1920","722","335898","index.html","1200; 1600; 1920"
"assets/images/commissions/bench-concept-sketch.jpeg","1215","813","171642","index.html","1200; 1215"
"assets/images/commissions/finished-bench.png","1180","784","542237","",""
"assets/images/commissions/slatted-bench-joinery-detail.png","1173","783","966935","index.html","1173"
"assets/images/description/lounge-chair-arm-detail.png","521","375","227908","",""
"assets/images/description/slatted-bench-joinery-detail.png","1173","783","966935","index.html","1173"
"assets/images/desk/front-view.jpg","3585","2689","414998","archive.html; sculptural-desk.html","1200; 1600; 2400; 3200"
"assets/images/desk/styled-front-view.jpg","4103","3077","479013","sculptural-desk.html","1200; 1600; 2400; 3200"
"assets/images/desk/underside-detail.jpg","5334","4000","527854","sculptural-desk.html","1200; 1600; 2400; 3200"
"assets/images/dining/front-three-quarter.jpg","1441","1080","88528","",""
"assets/images/dining/paired-side-view.jpg","1440","1080","84582","",""
"assets/images/fecitplatform/end-detail.jpg","4416","3312","689960","",""
"assets/images/fecitplatform/front-three-quarter.jpg","4416","3312","642275","",""
"assets/images/fecitplatform/rear-three-quarter.jpg","4416","3312","532962","",""
"assets/images/fecitplatform/side-profile.jpg","4416","3312","570390","",""
"assets/images/fecitplatform/slat-detail.jpg","4416","3312","656405","",""
"assets/images/fspine/stump-stools-group.jpg","3700","2160","753332","",""
"assets/images/guitar/front-view.jpg","4416","3312","550072","",""
"assets/images/guitar/scale-view.jpg","3074","4267","709418","",""
"assets/images/hallway/styled-front-view.jpg","1440","1080","66563","",""
"assets/images/hallway/top-detail.jpg","1440","1080","144036","",""
"assets/images/lounge/arm-joint-detail.jpg","2163","1622","497995","",""
"assets/images/lounge/front-three-quarter.jpg","1080","1080","68566","",""
"assets/images/lounge/styled-side-view.jpg","1080","1080","63389","",""
"assets/images/organic/single-stump-stool.jpg","2482","3102","582937","",""
"assets/images/organic/stump-stools-group.jpg","3700","1800","722161","",""
"assets/images/pillar/front-three-quarter.jpg","4416","3312","429865","",""
"assets/images/pillar/front-view.jpg","4416","3312","506052","",""
"assets/images/pillar/rear-three-quarter.jpg","4416","3312","509773","",""
"assets/images/pillar/top-detail.jpg","4416","3312","782319","",""
"assets/images/pillar/upper-three-quarter.jpg","4416","3312","687559","",""
"assets/images/portfolio/desk-card.jpg","3585","2689","414998","",""
"assets/images/portfolio/dining-chair-card.jpg","1441","1080","88528","",""
"assets/images/portfolio/fecit-platform-card.jpg","4416","3312","689960","",""
"assets/images/portfolio/guitar-card.jpg","4416","3312","550072","",""
"assets/images/portfolio/hallway-table-card.jpg","1440","1080","144036","",""
"assets/images/portfolio/kitchen-stool-card.jpg","2400","1800","429100","",""
"assets/images/portfolio/lounge-chair-card.jpg","3680","2760","681496","",""
"assets/images/portfolio/pillar-cabinet-card.jpg","4416","3312","429865","",""
"assets/images/portfolio/risibiki-table-card.jpg","4416","3312","775619","",""
"assets/images/portfolio/stump-stools-mobile.jpg","2883","2162","585548","",""
"assets/images/portfolio/stump-stools-wide.jpg","3700","1800","722161","",""
"assets/images/reeftable/reef-table-end-view.jpeg","1600","1066","298173","reef-table.html","1200; 1600"
"assets/images/reeftable/reef-table-riverside-view.jpeg","1600","1066","404598","reef-table.html","1200; 1600"
"assets/images/reeftable/reef-table-three-quarter-view.jpeg","1600","1066","445957","archive.html; reef-table.html","1200; 1600"
"assets/images/risibiki/base-detail.jpg","4416","3312","1216687","",""
"assets/images/risibiki/edge-detail.jpg","4416","3312","1126395","",""
"assets/images/risibiki/front-three-quarter-left.jpg","4416","3312","881055","",""
"assets/images/risibiki/front-three-quarter-right.jpg","4416","3312","838241","",""
"assets/images/risibiki/front-view.jpg","4416","3312","953341","",""
"assets/images/risibiki/rear-three-quarter.jpg","4416","3312","915267","",""
"assets/images/risibiki/risibiki-table-riverside-view.jpeg","1066","1600","268750","risibiki-table.html","1066"
"assets/images/risibiki/risibiki-table-top-and-base.jpeg","1066","1600","338955","archive.html; risibiki-table.html","1066"
"assets/images/risibiki/side-profile.jpg","4416","3312","775619","",""
"assets/images/risibiki/side-view.jpg","4416","3312","952475","",""
"assets/images/risibiki/underside-joinery-detail.jpg","4416","3312","1680225","",""
"assets/images/stool/paired-view.jpg","2400","3000","592659","kitchen-stool.html","1200; 1600; 2400"
"assets/images/stool/single-three-quarter.jpg","2400","3000","628723","archive.html; kitchen-stool.html","1200; 1600; 2400"
"assets/images/archive/Fullscreen/dining-chair.jpg","2401","2160","641808","",""
"assets/images/archive/Fullscreen/kitchen-stool.jpg","2400","2160","447114","",""
"assets/images/archive/Fullscreen/risibiki-table.jpg","4320","2160","547568","",""
"assets/images/archive/Fullscreen/slatted-bench.jpg","4320","2160","456298","",""
"assets/images/archive/Fullscreen/stump-stools.jpg","3700","2160","753332","",""
"assets/images/collections/bench-01/01-three-quarter-view.jpg","5787","3858","2577910","archive.html; index.html; wf08-foyer-bench.html","1200; 1600; 2400; 3200"
"assets/images/collections/bench-01/02-front-view.jpg","5770","3847","3298117","wf08-foyer-bench.html","1600; 2400"
"assets/images/collections/bench-01/03-leg-joint-detail.jpg","6000","4000","1964675","wf08-foyer-bench.html","1200; 1600; 2400; 3200"
